step,transactionType,amount,initiator,oldBalInitiator,newBalInitiator,recipient,oldBalRecipient,newBalRecipient,isFraud
94,PAYMENT,545.72,4659992747166548,2741979.63,2741433.91,21-0004290,159660.24,160205.96,0
44,DEPOSIT,175311.51,4488537651459863,1596144.81,1771456.32,04-0007447,99181.65,99181.65,0
35,PAYMENT,546.73,4174914925444238,3378930.25,3378383.52,04-0007264,118380.73,118927.46,0
141,PAYMENT,561.12,4703522567226712,2672087.07,2671525.94,26-0009904,197440.05,198001.17,0
140,PAYMENT,609.99,4650730647976700,5306856.42,5306246.43,82-0006804,157442.11,158052.1,0
36,PAYMENT,534.01,4340955182897567,3812270.59,3811736.58,39-0005438,31394.38,31928.39,0
77,TRANSFER,17389.78,4036221099015465,3361178.39,3343788.61,4024397105390680,0.0,17389.78,0
36,PAYMENT,620.5,4792630347833723,3318403.77,3317783.27,92-0008937,98512.19,99132.69,0
122,TRANSFER,21317.16,4652277605659421,2576882.56,2555565.39,4209838251548792,0.0,21317.16,0
142,WITHDRAWAL,251625.23,4018514877910572,3257790.86,3006165.63,21-0007069,290650.62,290650.62,0
41,WITHDRAWAL,263544.79,4174514784827364,4258719.17,3995174.39,55-0003384,64131.36,64131.36,0
107,PAYMENT,496.6,4049997365403841,1898182.47,1897685.87,55-0008674,111601.25,112097.84,0
41,TRANSFER,266233.6,4438051400342900,3358009.69,3091776.08,4214527979658032,96.06,266329.67,0
88,PAYMENT,598.97,4497916392365333,3284100.96,3283501.99,16-0000865,143348.5,143947.47,0
43,DEPOSIT,134628.17,4237929123555044,3332096.76,3466724.94,62-0006567,67068.2,67068.2,0
53,TRANSFER,16908.07,4497916392365333,4089793.56,4072885.49,4630943584552237,19733.6,36641.67,0
36,DEPOSIT,99973.65,4141290989500995,2242389.01,2342362.66,88-0009832,30748.62,30748.62,0
34,TRANSFER,17160.96,4882048381039829,4648208.76,4631047.79,4490381183558694,0.0,17160.96,0
37,DEPOSIT,50647.94,4609949045994741,4209062.34,4259710.28,62-0008970,121528.52,121528.52,0
94,DEPOSIT,192039.08,4339809402507543,3051846.66,3243885.74,88-0008341,135798.2,135798.2,0
142,TRANSFER,23521.54,4946235101225796,4322667.49,4299145.95,4910792873111762,36727.65,60249.18,1
139,PAYMENT,545.27,4191762992303582,1171491.8,1170946.53,95-0001460,211989.67,212534.95,0
134,WITHDRAWAL,21923.09,4621843675288413,3056447.51,3034524.42,51-0000794,120707.94,120707.94,0
40,PAYMENT,533.57,4815980742486848,4023360.58,4022827.01,78-0000388,58013.45,58547.02,0
136,TRANSFER,19703.97,4759770503518824,1498224.53,1478520.55,4326805399856229,56494.24,76198.21,1
14,DEPOSIT,91618.48,4671888308935590,2493388.56,2585007.04,92-0006472,11591.04,11591.04,0
44,WITHDRAWAL,104179.26,4917607005961855,4674423.08,4570243.81,06-0000237,79265.98,79265.98,0
9,PAYMENT,536.19,4361038450726109,737156.85,736620.67,00-0006045,534.73,1070.92,0
22,PAYMENT,11416.2,4331096947822128,4008157.87,3996741.68,27-0007594,81818.57,93234.77,0
37,PAYMENT,535.87,4609583930731833,2979186.37,2978650.5,11-0009661,76640.56,77176.42,0
19,PAYMENT,5633.93,4562547107423768,3988853.9,3983219.97,55-0003391,30957.24,36591.17,0
52,TRANSFER,17651.28,4590896810121953,3513645.91,3495994.63,4649623003096813,19690.33,37341.6,0
46,PAYMENT,579.7,4141290989500995,2376221.02,2375641.32,14-0008720,37153.43,37733.13,0
20,WITHDRAWAL,47393.66,4630995657264264,5771495.24,5724101.58,66-0009400,63129.63,63129.63,0
104,TRANSFER,17084.69,4138924099598557,2707057.01,2689972.32,4986007687493010,135645.25,152729.94,0
119,PAYMENT,628.92,4347933535560649,2375947.19,2375318.27,93-0000936,326240.35,326869.27,0
126,TRANSFER,19984.84,4905436040906103,2390991.25,2371006.41,4673346485739986,119909.58,139894.42,0
71,TRANSFER,39726.88,4551947910368536,2673078.14,2633351.26,4692592971933602,0.0,39726.88,1
75,PAYMENT,563.35,4455433748990376,3429003.34,3428440.0,34-0000568,138344.24,138907.59,0
39,TRANSFER,25271.98,4226303279666992,3881729.87,3856457.9,4215001201833259,44600.76,69872.74,1
61,TRANSFER,39983.18,4528069661534941,2400057.87,2360074.69,4021015403540607,0.0,39983.18,0
73,TRANSFER,30632.7,4793641847168402,1842848.3,1812215.61,4349554643613910,27569.43,58202.13,0
35,TRANSFER,23521.54,4545388438050513,3022076.52,2998554.99,4964566817218304,67914.51,91436.05,0
97,PAYMENT,625.63,4650730647976700,3340267.08,3339641.45,25-0005733,121180.12,121805.75,0
31,PAYMENT,622.93,4900853610371127,1653345.24,1652722.3,42-0004045,61441.42,62064.35,0
44,PAYMENT,6764.03,4840302813290174,-21916.0,-21916.0,51-0001530,71587.51,71587.51,0
8,PAYMENT,597.84,4196036105074611,543011.93,542414.09,25-0000407,2725.83,3323.67,0
142,DEPOSIT,140453.38,4088872261256365,3249379.5,3389832.88,58-0001635,149073.22,149073.22,0
121,TRANSFER,17972.21,4681985701792046,3014374.26,2996402.05,4636651641139302,0.0,17972.21,0
88,PAYMENT,584.73,4070638513143754,2673727.7,2673142.97,77-0001031,102819.57,103404.29,0
79,TRANSFER,16989.35,4230369052627521,2397760.76,2380771.4,4780363753481001,0.0,16989.35,0
34,PAYMENT,610.54,4807477393604092,3702682.68,3702072.14,59-0006655,59680.29,60290.84,0
111,PAYMENT,563.27,4112096804673239,2678968.26,2678404.99,94-0005855,110805.87,111369.14,0
41,TRANSFER,17133.51,4366655249398505,4453221.56,4436088.05,4120027467145413,41940.4,59073.9,1
141,DEPOSIT,106908.54,4125274885699929,1874135.26,1981043.8,52-0009426,182111.21,182111.21,0
87,TRANSFER,39726.88,4447409296956614,3194910.24,3155183.37,4736406087673986,0.0,39726.88,0
68,PAYMENT,599.78,4917880574076039,3052790.34,3052190.56,88-0000419,136910.83,137510.61,0
107,PAYMENT,602.25,4584659141986777,3744730.07,3744127.83,99-0006861,290203.95,290806.2,0
62,PAYMENT,614.26,4598535694641908,3325258.5,3324644.24,67-0003277,224388.74,225002.99,0
94,PAYMENT,537.64,4614548176991204,3406627.55,3406089.91,48-0000424,160925.9,161463.54,0
7,PAYMENT,580.13,4522256575871297,186434.39,185854.26,86-0003245,4242.09,4822.23,0
24,DEPOSIT,42639.18,4048660343622798,625140.94,667780.12,83-0001333,124481.04,124481.04,0
112,PAYMENT,581.49,4824701298333963,3394367.33,3393785.84,03-0008994,209326.81,209908.3,0
43,DEPOSIT,163466.75,4407236074723561,3476003.08,3639469.83,64-0005221,166528.78,166528.78,0
35,PAYMENT,561.31,4444652279262244,4543419.25,4542857.94,22-0002724,63602.43,64163.74,0
28,PAYMENT,535.87,4239788682173138,3437798.44,3437262.58,06-0003831,56490.59,57026.46,0
11,DEPOSIT,30618.36,4106286585870116,2005113.73,2035732.09,80-0005562,4534.01,4534.01,0
101,TRANSFER,39263.35,4707471319752730,1828433.64,1789170.29,4438161833286002,95919.27,135182.62,0
125,PAYMENT,497.4,4316965506565543,2213897.34,2213399.93,02-0002816,201240.86,201738.26,0
139,WITHDRAWAL,139169.59,4331310138967075,4720494.06,4581324.47,30-0000734,327437.14,327437.14,0
102,PAYMENT,643.51,4099090172053352,1520254.07,1519610.56,81-0005573,155747.12,156390.63,0
19,WITHDRAWAL,115428.36,4798634689780827,2939270.99,2823842.63,38-0000907,88774.98,88774.98,0
63,TRANSFER,19220.28,4680008412435069,3276328.32,3257108.05,4927845161276340,34714.18,53934.46,1
139,DEPOSIT,16398.62,4759620812966729,1126111.2,1142509.82,32-0006588,138983.8,138983.8,0
39,PAYMENT,575.58,4575922202602779,2357306.16,2356730.58,98-0001034,24994.31,25569.89,0
92,TRANSFER,16896.95,4469856896032654,1647824.38,1630927.43,4098758613920543,0.0,16896.95,0
40,DEPOSIT,216962.41,4266802270680341,2299712.87,2516675.28,16-0004524,194731.1,194731.1,0
82,PAYMENT,535.56,4225116241116263,3216749.28,3216213.72,59-0009160,223424.04,223959.6,0
10,DEPOSIT,119526.51,4685200443125125,718427.74,837954.26,63-0004357,3532.61,3532.61,0
139,TRANSFER,946691.0,4823327918075361,3322251.87,2375560.87,4876679299644629,623333.47,1570024.47,0
55,PAYMENT,570.66,4550288305547553,3333825.13,3333254.47,55-0008674,85697.96,86268.62,0
63,PAYMENT,544.9,4946296789701292,2214159.29,2213614.39,99-0001906,141912.0,142456.9,0
140,DEPOSIT,77196.68,4554874885343244,3244810.57,3322007.26,12-0003737,314698.47,314698.47,0
118,TRANSFER,17651.28,4971308789083452,2367251.02,2349599.74,4002413290363865,150551.91,168203.19,0
32,PAYMENT,549.03,4930256337327600,2670390.45,2669841.42,36-0005617,47650.24,48199.27,0
14,TRANSFER,19665.08,4387070674850217,3833784.67,3814119.59,4540758744296387,0.0,19665.08,0
40,TRANSFER,347360.22,4731303205413640,3904509.77,3557149.55,4871018823948849,1447925.07,1795285.29,0
138,PAYMENT,534.73,4751316402526548,3460735.84,3460201.11,03-0002965,213412.75,213947.48,0
23,DEPOSIT,154911.52,4341921240614443,3076076.63,3230988.15,01-0002034,61630.26,61630.26,0
89,TRANSFER,23022.54,4563001251687660,2552620.12,2529597.59,4788537522841460,0.0,23022.54,0
10,DEPOSIT,133272.43,4888788885216050,472682.65,605955.09,21-0008732,5161.25,5161.25,0
13,TRANSFER,43343.01,4108035639075521,4285672.73,4242329.72,4674678551797434,1737025.46,1780368.46,0
134,DEPOSIT,233030.65,4763112069077040,47583.51,280614.16,40-0007100,195296.27,195296.27,0
98,PAYMENT,632.66,4530873900335192,3247391.86,3246759.2,88-0009451,102780.11,103412.77,0
89,PAYMENT,597.27,4897003420709331,590899.77,590302.5,46-0004764,89566.74,90164.01,0
141,TRANSFER,17190.81,4418228067598321,2352471.85,2335281.04,4615551577713531,206848.64,224039.45,0
140,WITHDRAWAL,240610.35,4530873900335192,3371592.18,3130981.84,54-0003851,213391.2,213391.2,0
138,PAYMENT,602.25,4277683958701147,2784854.94,2784252.69,30-0004542,201880.17,202482.41,0
11,TRANSFER,18121.98,4686708520594954,1449597.63,1431475.65,4338251020661322,20661.25,38783.23,1
139,DEPOSIT,48335.91,4422927238615823,4388738.37,4437074.28,90-0004391,137166.24,137166.24,0
48,PAYMENT,616.44,4478410300961790,3090510.17,3089893.73,12-0004020,156367.15,156983.59,0
16,DEPOSIT,100667.3,4488537651459863,1997229.5,2097896.8,04-0007447,18155.09,18155.09,0
38,PAYMENT,557.82,4261678133592906,3681568.65,3681010.83,16-0006486,175418.05,175975.87,0
140,PAYMENT,618.35,4422915572796226,2324924.1,2324305.75,42-0002139,162001.35,162619.7,0
13,DEPOSIT,380143.48,4249241416673120,3066438.27,3446581.74,05-0005138,5953.68,5953.68,0
129,PAYMENT,551.82,4776633340988999,2823169.07,2822617.24,30-0007650,248850.4,249402.23,0
75,PAYMENT,596.98,4723436613376635,4411524.85,4410927.87,74-0006655,100618.78,101215.76,0
19,PAYMENT,7888.81,4212490373216935,2619308.53,2611419.73,44-0005575,30846.19,38735.0,0
127,PAYMENT,503.54,4373130181969318,-93023.85,-93527.39,04-0004913,160705.69,161209.23,0
36,DEPOSIT,43070.13,4432333123934809,2262996.02,2306066.15,84-0001032,45324.54,45324.54,0
39,TRANSFER,41191.46,4846983476902306,4411960.61,4370769.14,4539541735441946,57422.84,98614.3,1
17,DEPOSIT,16634.92,4209560333961492,2356754.05,2373388.97,91-0000586,95526.83,95526.83,0
136,PAYMENT,533.57,4585866758313588,2102154.93,2101621.36,12-0001092,161339.5,161873.07,0
140,DEPOSIT,86416.23,4216982962275377,2447543.73,2533959.96,86-0002198,128046.47,128046.47,0
127,PAYMENT,558.88,4703997476675011,3002060.45,3001501.57,98-0007725,267826.03,268384.91,0
35,PAYMENT,11884.85,4935105733867500,3100716.97,3088832.13,11-0006547,50551.61,62436.45,0
35,WITHDRAWAL,135384.08,4258622694533243,2948765.81,2813381.73,12-0000056,64071.67,64071.67,0
26,TRANSFER,16848.95,4362391430551033,3343782.4,3326933.46,4316823747772305,0.0,16848.95,1
125,PAYMENT,577.89,4654047633050507,4308167.56,4307589.68,77-0003820,185807.63,186385.52,0
16,PAYMENT,549.85,4447106963735616,1605872.82,1605322.97,45-0009778,43966.77,44516.63,0
53,PAYMENT,667.43,4258986850042293,3922714.97,3922047.55,84-0005016,205075.65,205743.07,0
41,DEPOSIT,113470.2,4359142928498897,670721.09,784191.29,13-0000760,39151.55,39151.55,0
43,TRANSFER,177849.72,4373130181969318,3330734.85,3152885.13,4711227811008854,3616477.89,3794327.61,0
9,PAYMENT,577.51,4322026534437197,599070.64,598493.14,93-0009569,13549.89,14127.4,0
77,TRANSFER,16959.07,4206753185168125,2907698.97,2890739.9,4421062295795754,0.0,16959.07,0
56,TRANSFER,16932.15,4598689578787145,3098364.97,3081432.82,4215629442914437,52456.22,69388.37,0
140,TRANSFER,28718.15,4654870344998452,540725.03,512006.87,4197204774671260,0.0,28718.15,1
22,PAYMENT,801.87,4444652279262244,5143948.75,5143146.88,38-0003281,64429.69,65231.56,0
7,DEPOSIT,120174.03,4380529022971485,240970.27,361144.3,84-0001567,4497.53,4497.53,0
83,PAYMENT,573.06,4009045696683794,8609.8,8036.74,39-0004048,131357.94,131931.0,0
131,PAYMENT,553.88,4331096947822128,2577270.72,2576716.84,02-0001818,243920.34,244474.21,0
77,PAYMENT,553.67,4540536824321741,4281396.62,4280842.95,59-0005784,236982.38,237536.05,0
87,PAYMENT,538.05,4713472658854360,3436690.25,3436152.2,77-0005335,231950.58,232488.64,0
92,TRANSFER,23521.54,4859019360063840,2992227.96,2968706.42,4279444177277072,0.0,23521.54,0
54,PAYMENT,593.98,4359752444310283,3289835.68,3289241.7,99-0008762,45389.73,45983.71,0
37,PAYMENT,637.09,4953218727002161,2226242.25,2225605.16,91-0000586,225362.88,225999.96,0
72,TRANSFER,17160.96,4331981332306086,3463249.15,3446088.18,4863925758330555,17005.96,34166.92,0
131,TRANSFER,39406.5,4984752442160824,605858.21,566451.71,4284728521571229,20555.84,59962.33,1
34,PAYMENT,505.79,4062277953501823,2100112.03,2099606.23,35-0007928,22895.25,23401.04,0
28,PAYMENT,571.15,4657703008258540,3470062.41,3469491.26,86-0001290,37208.45,37779.6,0
63,PAYMENT,543.23,4621972425062560,2732161.06,2731617.84,80-0000258,96259.06,96802.28,0
141,TRANSFER,17741.8,4634311096994550,2444550.16,2426808.36,4905463637395482,0.0,17741.8,0
35,TRANSFER,16896.95,4548703912504131,3041690.24,3024793.29,4368964474906950,36573.45,53470.4,1
120,DEPOSIT,5567.53,4052324174327661,-139334.99,-133767.46,65-0006398,163522.76,163522.76,0
126,TRANSFER,19585.15,4282344426684455,3348123.37,3328538.23,4465059322057106,17084.69,36669.84,0
140,WITHDRAWAL,15872.7,4904906834372507,986183.26,970310.57,86-0001240,202932.64,202932.64,0
87,TRANSFER,20314.0,4622167756227408,2937699.86,2917385.86,4812984779605737,36792.52,57106.53,0
131,PAYMENT,498.01,4062277953501823,825073.07,824575.06,64-0005869,133150.06,133648.07,0
8,DEPOSIT,28396.71,4115665931989721,771393.24,799789.95,50-0001014,2950.05,2950.05,0
18,WITHDRAWAL,17720.46,4604755169173821,5797475.95,5779755.5,35-0005923,15222.22,15222.22,0
107,PAYMENT,605.63,4764556225980324,-43345.61,-43951.23,22-0005127,171552.67,172158.29,0
13,DEPOSIT,162320.29,4046346451276963,2964490.24,3126810.53,21-0002645,3506.94,3506.94,0
120,DEPOSIT,68551.48,4444153051699653,161007.98,229559.46,50-0008652,309197.08,309197.08,0
133,PAYMENT,581.23,4238465782000369,1461415.01,1460833.78,13-0009314,90543.66,91124.89,0
84,PAYMENT,604.1,4864758024137242,2693272.01,2692667.9,87-0009992,196614.48,197218.58,0
75,TRANSFER,16932.15,4704420150703529,2637977.49,2621045.34,4535887702036654,54318.12,71250.28,0
14,TRANSFER,21966.03,4138766674673150,2135517.5,2113551.46,4779745021691135,60105.44,82071.48,0
19,TRANSFER,466202.54,4418480539983223,4137082.26,3670879.72,4935986760301038,3565576.74,4031779.28,0
47,DEPOSIT,49638.91,4208059368147342,3567072.83,3616711.74,66-0001894,170864.62,170864.62,0
123,TRANSFER,17572.83,4159580074130834,3280327.2,3262754.38,4198518398733738,96332.19,113905.02,1
4,TRANSFER,16857.65,4684019863789058,-41106.07,-57963.72,4373641353738661,62575.99,79433.65,0
43,DEPOSIT,159736.46,4024576941786504,3872332.75,4032069.21,14-0000167,84632.22,84632.22,0
87,PAYMENT,591.22,4337294506729990,2394469.51,2393878.29,82-0002969,253079.21,253670.43,0
44,PAYMENT,5209.55,4183996242905040,3562113.84,3556904.28,77-0007556,31566.15,36775.7,0
56,TRANSFER,16804.02,4575644207866981,5025521.23,5008717.22,4326710629575872,166748.85,183552.86,0
88,TRANSFER,39431.15,4815691808757002,1420508.89,1381077.74,4845137191110189,17972.21,57403.36,1
76,TRANSFER,16959.07,4000912847296801,2372767.07,2355808.0,4422690508816857,75818.83,92777.9,0
134,DEPOSIT,149028.37,4640905907968265,2421100.18,2570128.56,21-0009609,194118.23,194118.23,0
22,DEPOSIT,58359.64,4994645874509757,3367981.12,3426340.76,02-0001698,52329.31,52329.31,0
138,PAYMENT,700.8,4594970207904986,4248466.27,4247765.47,56-0009303,186131.71,186832.51,0
61,PAYMENT,605.63,4764676728347027,3366859.97,3366254.35,00-0005099,76505.87,77111.5,0
3,TRANSFER,17190.81,4148992633091445,149847.33,132656.52,4877191063143035,17298.25,34489.06,1
141,DEPOSIT,187415.31,4927946559711060,4022887.69,4210303.0,60-0006654,157518.17,157518.17,0
123,TRANSFER,20555.84,4514370378584567,2916456.29,2895900.46,4604722201416758,118201.96,138757.79,1
136,DEPOSIT,247030.94,4525777544109631,3715389.06,3962420.0,46-0001046,262922.6,262922.6,0
28,PAYMENT,535.87,4326346772627689,3321305.53,3320769.67,91-0008198,57406.19,57942.05,0
73,PAYMENT,583.51,4666457163789562,2641693.69,2641110.18,94-0000312,113979.26,114562.77,0
96,TRANSFER,20929.58,4464311073440705,2292908.89,2271979.31,4292289534582117,400902.91,421832.49,0
9,PAYMENT,560.17,4669595785158992,768297.09,767736.93,10-0006926,551.29,1111.45,0
12,PAYMENT,876.0,4521850030502579,486537.68,485661.68,23-0003038,1791.06,2667.05,0
9,DEPOSIT,61892.56,4874653947271004,1437690.19,1499582.75,99-0008912,3728.68,3728.68,0
85,TRANSFER,19766.82,4636646146745363,1852169.4,1832402.58,4355896407441231,44759.06,64525.89,0
20,DEPOSIT,35622.3,4723091379258863,3933382.02,3969004.32,90-0009139,31387.48,31387.48,0
114,TRANSFER,73718.59,4923067516008492,46045.26,46045.26,4793213566921799,43584.11,43584.11,0
124,TRANSFER,28988.48,4175542417836238,2196780.91,2167792.44,4820701362737051,0.0,28988.48,0
39,PAYMENT,562.58,4786690100874361,540631.95,540069.37,64-0007571,45788.12,46350.7,0
64,PAYMENT,534.73,4497370868793760,2747941.32,2747406.58,21-0002755,184449.26,184983.99,0
8,DEPOSIT,83860.24,4896906850442168,1247188.16,1331048.4,40-0000896,3070.9,3070.9,0
113,PAYMENT,566.7,4946296789701292,2377249.6,2376682.9,31-0001460,127253.92,127820.62,0
34,PAYMENT,535.56,4929991409854734,3693199.32,3692663.75,92-0004278,156903.85,157439.41,0
141,TRANSFER,17504.18,4263132591701078,2569320.83,2551816.65,4678668073268945,0.0,17504.18,1
16,WITHDRAWAL,90159.29,4184669047520228,3922611.29,3832451.99,94-0009819,3583.12,3583.12,0
117,TRANSFER,16886.39,4525777544109631,2898676.41,2881790.03,4406311413840698,36785.53,53671.92,1
26,TRANSFER,19984.84,4061192963937431,1510385.99,1490401.15,4512023944617492,99613.36,119598.2,0
95,DEPOSIT,136566.25,4428886748647995,3131682.13,3268248.38,52-0000326,89791.28,89791.28,0
36,WITHDRAWAL,196205.88,4737558142846541,4043976.41,3847770.53,22-0008899,28425.08,28425.08,0
142,PAYMENT,576.16,4336148822056788,4677706.89,4677130.73,59-0005053,173050.59,173626.75,0
65,TRANSFER,27901.41,4706961587623788,2471983.46,2444082.05,4891569385315815,17259.03,45160.43,1
104,PAYMENT,610.54,4416053552964719,3278235.55,3277625.01,40-0009928,154304.88,154915.42,0
123,PAYMENT,564.03,4023158783875165,1963954.83,1963390.8,32-0009270,242552.95,243116.98,0
9,DEPOSIT,304796.71,4586248803601904,1818357.29,2123154.0,74-0003472,1126.5,1126.5,0
136,PAYMENT,581.84,4793589705727845,2701937.53,2701355.69,30-0001341,91024.54,91606.38,0
51,PAYMENT,598.6,4205145311742835,2693369.33,2692770.74,72-0000687,130643.48,131242.08,0
72,TRANSFER,18828.03,4963721557718390,1390868.22,1372040.19,4773918229931910,0.0,18828.03,0
60,TRANSFER,16848.95,4552699160196401,4328864.34,4312015.4,4563960414574430,0.0,16848.95,0
35,DEPOSIT,174589.17,4268733248301975,2409843.97,2584433.14,51-0002365,95252.37,95252.37,0
44,PAYMENT,8457.71,4891949691016622,3160520.78,3152063.07,68-0009437,153778.69,162236.39,0
113,TRANSFER,34461.78,4756137381775319,2131517.91,2097056.13,4352449182769211,0.0,34461.78,0
33,PAYMENT,570.22,4750891616607343,1709276.43,1708706.22,11-0007596,45158.34,45728.56,0
93,DEPOSIT,60696.21,4611649876420347,2244367.97,2305064.18,06-0007993,193832.98,193832.98,0
133,PAYMENT,592.71,4840602498412492,2880804.25,2880211.54,37-0005832,235037.59,235630.29,0
22,PAYMENT,597.84,4878147283250231,4092468.65,4091870.81,71-0006313,8671.97,9269.81,0
15,TRANSFER,42717.07,4855072788538145,3543417.3,3500700.23,4477574867701427,34596.5,77313.58,1
62,PAYMENT,580.13,4192558641058968,3517759.53,3517179.39,45-0001602,94650.2,95230.33,0
68,PAYMENT,588.5,4967261108580425,2926399.86,2925811.36,24-0002931,138334.57,138923.06,0
136,DEPOSIT,202245.82,4290233676305715,2344630.84,2546876.66,45-0009286,145431.31,145431.31,0
41,PAYMENT,2418.3,4538812829354035,4199966.54,4197548.24,90-0004949,127268.12,129686.42,0
81,PAYMENT,536.87,4685200443125125,2628087.85,2627550.97,11-0004691,128297.22,128834.09,0
129,TRANSFER,32949.05,4336363255659871,1664262.93,1631313.88,4448171975921439,36560.47,69509.52,0
142,PAYMENT,596.69,4210296312879275,3445171.47,3444574.78,25-0003727,133867.99,134464.68,0
123,PAYMENT,566.7,4221007365680289,2772640.88,2772074.18,59-0001908,351377.46,351944.16,0
71,PAYMENT,627.64,4044889387099431,2614442.88,2613815.24,36-0002444,183466.07,184093.71,0
63,PAYMENT,609.39,4409271508181738,2661562.72,2660953.33,37-0004654,107014.32,107623.71,0
63,TRANSFER,29894.37,4744638797498011,2641705.48,2611811.11,4913468602989318,81518.95,111413.32,1
94,PAYMENT,588.5,4473162396995316,1616163.16,1615574.67,13-0001371,134268.85,134857.35,0
8,TRANSFER,22383.02,4125742635067811,121207.2,98824.18,4665646575947559,19653.38,42036.41,0
14,DEPOSIT,33748.3,4076003648328578,2691308.93,2725057.23,75-0008198,3326.83,3326.83,0
8,DEPOSIT,170641.03,4375269025827973,376874.84,547515.87,75-0003712,667.43,667.43,0
103,PAYMENT,546.89,4187316310555666,3638146.53,3637599.64,31-0007971,162848.24,163395.12,0
140,DEPOSIT,116826.68,4983040826380668,4178835.07,4295661.76,57-0005590,148305.35,148305.35,0
36,DEPOSIT,26240.76,4999187874364540,3712034.87,3738275.63,78-0006699,62805.52,62805.52,0
38,PAYMENT,10319.08,4216931503680447,4610650.52,4600331.44,42-0008934,71960.48,82279.56,0
43,DEPOSIT,24323.54,4160893234233704,3917301.16,3941624.7,02-0000541,43280.09,43280.09,0
35,DEPOSIT,54085.57,4641028645462902,3739727.64,3793813.2,99-0008912,51287.93,51287.93,0
27,TRANSFER,20251.31,4238091486279537,2754723.43,2734472.12,4454378947667112,62314.07,82565.38,0
136,DEPOSIT,195012.47,4270648143393461,3414401.24,3609413.71,82-0001293,173597.17,173597.17,0
79,PAYMENT,533.57,4942386085421200,2467455.77,2466922.2,98-0009076,60500.53,61034.1,0
43,WITHDRAWAL,239854.24,4545580238674852,3054525.24,2814671.01,87-0004805,100613.19,100613.19,0
106,TRANSFER,16832.67,4174995418732650,2044248.8,2027416.13,4613162969129468,169617.9,186450.57,1
29,PAYMENT,579.7,4840755031322469,3907653.64,3907073.95,20-0006955,114169.36,114749.05,0
106,TRANSFER,17847.4,4555401181999294,3135759.9,3117912.49,4226923252987006,100576.34,118423.75,0
80,PAYMENT,618.35,4588833984623328,2251230.1,2250611.75,30-0008261,107437.43,108055.79,0
91,PAYMENT,537.64,4565752786856240,1822534.12,1821996.48,43-0003358,169472.5,170010.14,0
68,PAYMENT,1046.21,4308658398341988,3567233.43,3566187.22,26-0009213,56581.44,57627.66,0
9,DEPOSIT,151560.09,4903753579697024,1014188.39,1165748.48,93-0005225,1769.97,1769.97,0
135,DEPOSIT,247287.09,4846229857151000,788566.97,1035854.07,65-0005971,206414.42,206414.42,0
9,DEPOSIT,125507.39,4085707576744585,2025178.03,2150685.43,14-0007341,5187.45,5187.45,0
127,TRANSFER,27569.43,4523396809117759,2611211.77,2583642.35,4741272505023524,0.0,27569.43,1
139,DEPOSIT,240796.53,4185113391441466,1070739.03,1311535.57,13-0006216,145375.89,145375.89,0
42,DEPOSIT,474702.02,4437203922459800,3708896.91,4183598.93,91-0005582,129004.41,129004.41,0
137,PAYMENT,562.58,4563001251687660,2684414.76,2683852.18,66-0001894,264774.43,265337.01,0
42,WITHDRAWAL,158523.0,4813530733225838,4083915.45,3925392.45,78-0001642,67354.69,67354.69,0
1,PAYMENT,604.85,4723091379258863,167493.23,166888.37,60-0007322,0.0,604.85,0
134,DEPOSIT,285411.07,4198291625518898,1398504.99,1683916.06,78-0002277,190417.41,190417.41,0
143,PAYMENT,778.66,4835602377572330,3730688.57,3729909.91,61-0002974,177947.02,178725.68,0
140,TRANSFER,16810.74,4533970416615633,1355143.97,1338333.23,4891913145481352,0.0,16810.74,0
30,PAYMENT,496.12,4799852780185956,3456059.49,3455563.38,88-0002094,62096.63,62592.75,0
118,TRANSFER,17651.28,4558525404864211,3502882.46,3485231.18,4518307908978378,0.0,17651.28,0
137,TRANSFER,17847.4,4577648876473118,1766199.65,1748352.25,4950856189437053,0.0,17847.4,0
35,PAYMENT,596.16,4786637640536356,2941584.51,2940988.34,57-0009348,153666.23,154262.39,0
121,TRANSFER,73424.56,4417034585157546,173046.22,99621.66,4858633926331672,0.0,73424.56,1
43,PAYMENT,570.31,4524425950976058,3052774.2,3052203.89,32-0000553,89028.15,89598.46,0
122,TRANSFER,24711.79,4238728589293598,3599759.37,3575047.59,4710279785743074,16817.74,41529.53,0
42,TRANSFER,40192.88,4936231364014946,3781543.01,3741350.13,4217244417013237,0.0,40192.88,0
7,DEPOSIT,213556.65,4013973317247976,19.09,213575.73,50-0000116,4545.51,4545.51,0
31,TRANSFER,23825.43,4162329464556744,2695939.61,2672114.18,4627490537923631,64300.04,88125.47,1
140,PAYMENT,648.89,4270913029678249,1120560.71,1119911.82,88-0005297,170922.65,171571.53,0
92,TRANSFER,17190.81,4620971567864347,2940344.65,2923153.85,4683188905292537,101746.19,118937.0,0
23,PAYMENT,534.24,4049352102642501,3548615.48,3548081.25,10-0000912,20827.35,21361.59,0
47,WITHDRAWAL,196099.01,4799807844644430,2107540.49,1911441.48,42-0000792,191692.03,191692.03,0
31,TRANSFER,17741.8,4742918191508371,4416434.88,4398693.08,4236773255781916,0.0,17741.8,0
89,PAYMENT,614.73,4360100421719851,1707557.97,1706943.23,94-0002433,209210.53,209825.26,0
126,TRANSFER,16866.78,4122740540330806,3061301.11,3044434.33,4195753013824884,0.0,16866.78,0
